timestamp,x,y,theta,delta_rot1,delta_trans,delta_rot2,dt
1778594559.7141795,-0.32893064618110657,1.1808379888534546,2.6890063355088776,0.0,0.0001904632918623181,-0.012707394442966534,0.05103659629821777
1778594559.760118,-0.3288494348526001,1.1807152032852173,2.67720100100991,0.0,0.00014721268846517118,-0.011805334498967479,0.04593849182128906
1778594559.8031454,-0.3288659155368805,1.1805106401443481,2.66472204351975,0.0,0.00020522595244412423,-0.012478957490160258,0.043027400970458984
1778594559.8525805,-0.3289554715156555,1.1802197694778442,2.6511456807064615,0.0,0.0003043452282635285,-0.013576362813288334,0.04943513870239258
1778594559.903258,-0.3290725648403168,1.179970145225525,2.637805870085326,0.0,0.00027572289354751365,-0.013339810621135319,0.05067753791809082
1778594559.9624407,-0.3290879428386688,1.1797388792037964,2.6222968148295873,0.0,0.00023177673662266008,-0.01550905525573887,0.05918264389038086
1778594560.0132384,-0.3290405571460724,1.1796107292175293,2.6091837283285644,0.0,0.00013663024131977227,-0.013113086501022941,0.05079770088195801
1778594560.0631635,-0.3289535939693451,1.1794273853302002,2.5960152278346533,0.0,0.0002029225840744421,-0.01316850049391105,0.04992508888244629
1778594560.1141427,-0.328785240650177,1.1793023347854614,2.582620847306072,0.0,0.00020971523267129656,-0.01339438052858144,0.0509791374206543
1778594560.1591704,-0.32863128185272217,1.1792396306991577,2.5694077439969187,0.0,0.00016623812364473386,-0.013213103309153151,0.045027732849121094
1778594560.2032197,-0.3285582363605499,1.1790645122528076,2.557376258657621,0.0,0.0001897422308785184,-0.012031485339297543,0.04404926300048828
1778594560.2527285,-0.3284335434436798,1.1789308786392212,2.5443316284692923,0.0,0.0001827738115752476,-0.01304463018832891,0.04950881004333496
1778594560.3186994,-0.3285151720046997,1.1786034107208252,2.526581222274048,0.0,0.00033748845839937384,-0.017750406195244484,0.06597089767456055
1778594560.3631814,-0.32861319184303284,1.1784220933914185,2.515030727018446,0.0,0.00020611613874232303,-0.011550495255601591,0.04448199272155762
1778594560.413144,-0.32875296473503113,1.178274393081665,2.5027223546150337,0.0,0.00020335152529258672,-0.012308372403412537,0.049962759017944336
1778594560.4631712,-0.3286859393119812,1.1781119108200073,2.4899784884875484,0.0,0.00017576374110842022,-0.012743866127485237,0.05002713203430176
1778594560.51415,-0.32852667570114136,1.1780178546905518,2.476209126527746,0.0,0.00018496338347334443,-0.013769361959802495,0.050978660583496094
1778594560.5591247,-0.32833924889564514,1.1778820753097534,2.46378611341456,0.0,0.00023144080813135978,-0.012423013113185723,0.04497480392456055
1778594560.602613,-0.32828015089035034,1.1776866912841797,2.4521691334712092,0.0,0.00020412616608171612,-0.01161697994335098,0.043488264083862305
1778594560.6528134,-0.328457772731781,1.177605390548706,2.438640392453448,0.0,0.00019534412748217845,-0.013528741017761359,0.050200462341308594
1778594560.7191873,-0.32868456840515137,1.177330732345581,2.4211592779064306,0.0,0.00035619293367972557,-0.017481114547017285,0.06637382507324219
1778594560.763206,-0.32879287004470825,1.1772944927215576,2.4097769292563953,0.0,0.00011420400816113897,-0.01138234865003529,0.04401874542236328
1778594560.8131738,-0.32878467440605164,1.1770954132080078,2.3967086905154766,0.0,0.00019924813978608856,-0.01306823874091867,0.04996776580810547
1778594560.8631587,-0.3287126123905182,1.1769120693206787,2.383329359259353,0.0,0.00019699724643681973,-0.01337933125612345,0.04998493194580078
1778594560.913186,-0.32861796021461487,1.176753044128418,2.369720332991462,0.0,0.0001850622764822672,-0.013609026267891178,0.05002737045288086
1778594560.9591305,-0.32864320278167725,1.1765424013137817,2.3585442103902476,0.0,0.00021214990584436278,-0.011176122601214367,0.0459444522857666
1778594561.0032322,-0.3287847936153412,1.1764055490493774,2.3468700128868876,0.0,0.00019691751179169725,-0.011674197503360073,0.044101715087890625
1778594561.0531895,-0.3290202021598816,1.1762386560440063,2.3342127272785174,0.0,0.0002885662109194836,-0.012657285608370207,0.049957275390625
1778594561.1185448,-0.32920023798942566,1.176119327545166,2.3166941835297257,0.0,0.00021599118166051967,-0.017518543748791693,0.06535530090332031
1778594561.1632104,-0.3292052447795868,1.1760616302490234,2.305003662382404,0.0,5.791412547800387e-05,-0.011690521147321498,0.04466557502746582
1778594561.2131515,-0.32920756936073303,1.1758421659469604,2.2916811990226056,0.0,0.00021947661278026872,-0.013322463359798586,0.049941062927246094
1778594561.2631683,-0.32904550433158875,1.1757012605667114,2.277692842955662,0.0,0.00021475427784950062,-0.013988356066943375,0.05001688003540039
1778594561.3131657,-0.3289385437965393,1.175492286682129,2.264734928895493,0.0,0.00023475655580956702,-0.012957914060168996,0.04999732971191406
1778594561.359125,-0.32900500297546387,1.1753004789352417,2.252719087739453,0.0,0.00020299515814243855,-0.012015841156040263,0.0459592342376709
1778594561.4032328,-0.32903558015823364,1.1751209497451782,2.2417625378963986,0.0,0.0001821145084582339,-0.010956549843054386,0.044107913970947266
1778594561.4532406,-0.3290275037288666,1.1749531030654907,2.22884531856721,0.0,0.00016804087774538497,-0.012917219329188434,0.05000782012939453
1778594561.5188942,-0.3289422392845154,1.1749300956726074,2.211361013374035,0.0,8.831401699506601e-05,-0.01748430519317523,0.06565356254577637
1778594561.5632682,-0.3289647698402405,1.174743890762329,2.199110275647856,0.0,0.00018756304154347425,-0.012250737726178684,0.04437398910522461
1778594561.6133306,-0.3290119171142578,1.17460298538208,2.184975239940814,0.0,0.00014858395482146604,-0.01413503570704222,0.05006241798400879
1778594561.6641645,-0.32911500334739685,1.1743913888931274,2.171070782497453,0.0,0.00023537171792694088,-0.013904457443361109,0.050833940505981445
1778594561.7131574,-0.32925525307655334,1.174181580543518,2.158055409008032,0.0,0.00025236784679170146,-0.013015373489420947,0.04899287223815918
1778594561.7581315,-0.32923346757888794,1.1739215850830078,2.1457553137630594,0.0,0.00026090658748768376,-0.012300095244972553,0.04497408866882324
1778594561.8031995,-0.3293040096759796,1.1737759113311768,2.1348748377128937,0.0,0.00016185496419519231,-0.010880476050165733,0.04506802558898926
1778594561.8532937,-0.3295605182647705,1.1737853288650513,2.1231319404339715,0.0,0.00025668140966531505,-0.011742897278922195,0.0500941276550293
1778594561.9027886,-0.3296915292739868,1.1736652851104736,2.109924791758262,0.0,0.00017769183309587294,-0.013207148675709492,0.04949498176574707
1778594561.9632041,-0.3298815190792084,1.1735503673553467,2.0933977135954662,0.0,0.00022204102443364776,-0.01652707816279575,0.06041550636291504
1778594562.0132358,-0.3301972448825836,1.1733157634735107,2.0797916107231225,0.0,0.0003933468752760518,-0.013606102872343762,0.05003166198730469
1778594562.0631828,-0.3304416239261627,1.1732624769210815,2.0669990064271957,0.0,0.00025012111788176984,-0.012792604295926768,0.04994702339172363
1778594562.1131566,-0.33042407035827637,1.173099160194397,2.0534635286470846,0.0,0.0001642573619674425,-0.013535477780111107,0.04997372627258301
1778594562.1581683,-0.3304230570793152,1.1729635000228882,2.042178410417292,0.0,0.00013566395567005717,-0.011285118229792614,0.04501175880432129
1778594562.2032418,-0.33046045899391174,1.172904372215271,2.0304088886433673,0.0,6.996428266696748e-05,-0.01176952177392465,0.045073509216308594
1778594562.2726023,-0.3304743766784668,1.172654390335083,2.010884709688136,0.0,0.00025036901239110183,-0.01952417895523117,0.06936049461364746
1778594562.3030562,-0.3304443061351776,1.1725738048553467,2.002787142197724,0.0,8.601312177825471e-05,-0.008097567490412239,0.030453920364379883
1778594562.3632002,-0.3305841088294983,1.1722993850708008,1.985992797431938,0.0,0.00030797891403396184,-0.016794344765785896,0.06014394760131836
1778594562.4131918,-0.3307945132255554,1.1720880270004272,1.9722505096606384,0.0,0.00029823186246977267,-0.0137422877712996,0.049991607666015625
1778594562.4631884,-0.33102884888648987,1.17197847366333,1.9583010969428414,0.0,0.0002586796003837767,-0.013949412717797038,0.04999661445617676
1778594562.51319,-0.3311595022678375,1.1717990636825562,1.946039551445743,0.0,0.00022194199075181,-0.012261545497098458,0.05000162124633789
1778594562.564137,-0.3311516344547272,1.1717878580093384,1.9343125356071742,0.0,1.3691953673707228e-05,-0.011727015838568722,0.050946950912475586
1778594562.6032877,-0.3310800790786743,1.1717438697814941,1.9245454197966119,0.0,8.399485716960486e-05,-0.009767115810562332,0.03915071487426758
1778594562.6532016,-0.3309415280818939,1.1715424060821533,1.9102874914403152,0.0,0.0002445076703519331,-0.014257928356296688,0.049913883209228516
