x,y,theta
2.972461749428436106e-01,-1.256521562416945681e+00,-8.482751110635644576e-01
3.419378448815511007e-01,-1.310419934953225063e+00,-6.997660994905370302e-01
3.437141010239271322e-01,-1.311212972398103416e+00,-4.921920929036713854e-01
3.450691773819348218e-01,-1.312862805231847174e+00,-2.920909185030652333e-01
3.464407601353398092e-01,-1.313782515943226148e+00,-6.223193617645445680e-02
3.475122742843131385e-01,-1.314951487984818979e+00,1.154932302157292701e-01
3.496750234166932647e-01,-1.316426543208766065e+00,3.776864700934515207e-01
3.516399758886200599e-01,-1.318240934154051525e+00,5.845696817324795846e-01
3.537900343177035611e-01,-1.318982226066753860e+00,7.689249862016175330e-01
3.637943737100626240e-01,-1.322938308676589791e+00,8.610326448609396666e-01
3.635233687759748533e-01,-1.322235669601257824e+00,6.844908180016758825e-01
3.636994586908329774e-01,-1.323498881570848162e+00,6.516921719384209943e-01
3.669771894835447412e-01,-1.325893684110732273e+00,8.398436859241384944e-01
3.699120281373738939e-01,-1.327086145988470411e+00,1.021291606307610511e+00
3.720157170736214658e-01,-1.327683657321371724e+00,1.199461689208795256e+00
3.743979420479462417e-01,-1.328053230873595059e+00,1.376655832010987623e+00
3.770719363868464957e-01,-1.327874102761027242e+00,1.576079831128982534e+00
3.796752974513949996e-01,-1.327619379480704964e+00,1.753930061133818441e+00
3.827964391023604973e-01,-1.327487882432227151e+00,1.952600729715944450e+00
3.841099026994983512e-01,-1.326576359184764353e+00,2.154845419308153431e+00
3.853801081352314917e-01,-1.325504369022697748e+00,2.357203375251688104e+00
3.859903443622654806e-01,-1.324749989457590260e+00,2.538214433636767353e+00
3.861554927952221550e-01,-1.323744422287244982e+00,2.740709532984262786e+00
3.860588280777772496e-01,-1.322471571029994575e+00,2.940597424289342676e+00
3.857861514113007928e-01,-1.321865594398542676e+00,3.131300319958027600e+00
3.855100867485908855e-01,-1.322222956483278367e+00,-2.974158300310767444e+00
3.857523787825369865e-01,-1.321181890911841572e+00,-2.798048103019103561e+00
3.852871917118697032e-01,-1.321104239856427442e+00,-2.614367258027670449e+00
3.844924994392348028e-01,-1.321614622786187132e+00,-2.413858805040278277e+00
3.836453687337770813e-01,-1.321952906489517687e+00,-2.236583769799207477e+00
3.826376096195997500e-01,-1.321738222738777058e+00,-2.060547122680469467e+00
3.817970790935159564e-01,-1.322629673955985075e+00,-1.882452450412229972e+00
3.802616367395645347e-01,-1.323708651524778457e+00,-1.679937330880100221e+00
3.798258236589308612e-01,-1.326260900928458941e+00,-1.478134688108194927e+00
3.790287969995063677e-01,-1.328342996563919964e+00,-1.276370906175711584e+00
3.795527177575322431e-01,-1.330833710063312525e+00,-1.075393625515334683e+00
3.806282444053243896e-01,-1.333473905485055289e+00,-8.716082470388227810e-01
4.530561748533127875e-01,-1.408329513505124586e+00,-7.772376659912331176e-01
5.262206941691692785e-01,-1.482046784103066450e+00,-7.767546288679053612e-01
5.989430584321954187e-01,-1.556129357920655654e+00,-7.771714064448009829e-01
6.719731677030063022e-01,-1.629721022672674380e+00,-7.790488480079328371e-01
7.455845590977623338e-01,-1.704840038602593255e+00,-7.780962585790317521e-01
7.633893742603291566e-01,-1.725433809734254975e+00,-6.044791575841936826e-01
7.647511274029612505e-01,-1.726960263149701413e+00,-6.667467899226503514e-01
7.640137219170539673e-01,-1.726970964138664799e+00,-8.492108605069379479e-01
7.639603008934990891e-01,-1.726624665187494356e+00,-1.030879612315532601e+00
7.652909935995698687e-01,-1.726215366442903187e+00,-1.213288479720376456e+00
7.662738814381458985e-01,-1.725783463574636079e+00,-1.394855601301054682e+00
7.675761267918247421e-01,-1.725630866638743433e+00,-1.583186726440104941e+00
7.683399352259125958e-01,-1.725267513822824395e+00,-1.757803675964117573e+00
7.695554696763756697e-01,-1.725448247637486832e+00,-1.939424772951017673e+00
7.708303472322762806e-01,-1.726116056735772508e+00,-2.122629476963873607e+00
7.131611735643889061e-01,-1.806766083442247872e+00,-2.234146603596094405e+00
6.504089333081591873e-01,-1.887852105247407986e+00,-2.236854008089201429e+00
5.869131110450771516e-01,-1.968453836252211930e+00,-2.240131056109271324e+00
5.646714428835291066e-01,-1.994469406051031068e+00,-2.062557232689390396e+00
5.617738870011355079e-01,-1.995271433900585034e+00,-1.879871390953299359e+00
5.598328150494268352e-01,-1.996850573880141422e+00,-1.707568446242586413e+00
5.573243812962858090e-01,-1.998652392922901866e+00,-1.527736393835137152e+00
5.558271555776994610e-01,-2.000709103771336039e+00,-1.353958958528196144e+00
5.545175371868114045e-01,-2.002314274498923741e+00,-1.300389319398782773e+00
5.544232133133291107e-01,-2.001272486340460066e+00,-1.482154415005467296e+00
5.554940241647504662e-01,-2.001189686669850420e+00,-1.661036824698377989e+00
5.556234701422568811e-01,-2.000616509194125481e+00,-1.847392756919544521e+00
5.574266624858551511e-01,-2.002022074009451647e+00,-2.029914559359252912e+00
5.584170148572037418e-01,-2.001715916099232384e+00,-2.224980324069155024e+00
4.925191666702009585e-01,-2.077659859998584491e+00,-2.299783801555880469e+00
4.843978498198805438e-01,-2.082910222616956908e+00,-2.128949525784911145e+00
4.818124195949421984e-01,-2.082166476721040382e+00,-1.948670152648024789e+00
4.792083018239947090e-01,-2.082477653153984587e+00,-1.762023825845335123e+00
4.788881153235423072e-01,-2.084342002159185192e+00,-1.584860446904000408e+00
