timestamp,x,y,theta,delta_rot1,delta_trans,delta_rot2,dt
1782933886.6062183,-0.012236811220645905,-0.12709423899650574,-1.4108982185472503,0.0,7.014641754440233e-06,-5.262907112357773e-05,0.04720306396484375
1782933886.6559741,-0.012242536060512066,-0.1271010786294937,-1.4108310777274937,0.0,8.919325697798056e-06,6.71408197565615e-05,0.04975581169128418
1782933886.6982288,-0.01223880797624588,-0.12709662318229675,-1.4108745330350958,0.0,5.809442487940176e-06,-4.345530760208049e-05,0.04225468635559082
1782933886.7492461,-0.012240295298397541,-0.12709839642047882,-1.4108568855760655,0.0,2.3144115522448973e-06,1.764745903032328e-05,0.05101728439331055
1782933886.7992048,-0.01224200613796711,-0.12710043787956238,-1.4108366832435577,0.0,2.66355537254995e-06,2.020233250776826e-05,0.04995870590209961
1782933886.8579702,-0.012239765375852585,-0.12709775567054749,-1.410863119294592,0.0,3.495033626942787e-06,-2.6436051034250948e-05,0.058765411376953125
1782933886.9091983,-0.012243656441569328,-0.12710240483283997,-1.410817575801553,0.0,6.062598653534523e-06,4.554349303886873e-05,0.05122804641723633
1782933886.9589498,-0.012244450859725475,-0.12710335850715637,-1.4108081166629156,0.0,1.2412070369559353e-06,9.459138637479825e-06,0.04975152015686035
1782933887.0059874,-0.012242271564900875,-0.12710075080394745,-1.410833614449503,0.0,3.3984469921360235e-06,-2.549778658744728e-05,0.047037601470947266
1782933887.0561779,-0.012242047116160393,-0.12710048258304596,-1.4108360830547246,0.0,3.497423181426786e-07,-2.4686052215727727e-06,0.05019044876098633
1782933887.0979495,-0.012240111827850342,-0.1270981729030609,-1.4108588467369578,0.0,3.0132976083261e-06,-2.276368223319558e-05,0.041771650314331055
1782933887.1479287,-0.01224624365568161,-0.1271055042743683,-1.4107872206480103,0.0,9.557631390616057e-06,7.162608894750733e-05,0.049979209899902344
1782933887.2164404,-0.012244491837918758,-0.12710340321063995,-1.410807833271783,0.0,2.7355683622891486e-06,-2.06126237727311e-05,0.0685117244720459
1782933887.257038,-0.012248381972312927,-0.12710805237293243,-1.4107622700450428,0.0,6.062000958967074e-06,4.556322674020841e-05,0.04059767723083496
1782933887.3069692,-0.012250928208231926,-0.12711109220981598,-1.410732508176265,0.0,3.9653405444878695e-06,2.976186877789999e-05,0.04993104934692383
1782933887.3579414,-0.012248992919921875,-0.12710878252983093,-1.4107550056636375,0.0,3.0132976083261e-06,-2.2497487372596936e-05,0.05097222328186035
1782933887.405952,-0.012249033898115158,-0.1271088421344757,-1.4107548059338997,0.0,7.233205377663523e-08,1.9972973785975512e-07,0.04801058769226074
1782933887.4561174,-0.012245631776750088,-0.1271047741174698,-1.4107946266683848,0.0,5.30313040977928e-06,-3.98207344851631e-05,0.050165414810180664
1782933887.4970555,-0.012244104407727718,-0.12710294127464294,-1.4108125180566133,0.0,2.3858266823900702e-06,-1.7891388228497007e-05,0.04093813896179199
1782933887.5468862,-0.012247078120708466,-0.12710650265216827,-1.410777556292223,0.0,4.639652871690645e-06,3.496176439043985e-05,0.04983067512512207
1782933887.616745,-0.01224310602992773,-0.12710174918174744,-1.4108238634246668,0.0,6.194593304824476e-06,-4.630713244391237e-05,0.06985878944396973
1782933887.6571372,-0.012244796380400658,-0.1271037757396698,-1.4108041545819432,0.0,2.638981192433593e-06,1.9708842723620276e-05,0.040392160415649414
1782933887.7081735,-0.012245957739651203,-0.12710516154766083,-1.4107905535637593,0.0,1.8080981988886016e-06,1.360101818392856e-05,0.05103635787963867
1782933887.7578769,-0.012242637574672699,-0.12710119783878326,-1.4108295950776866,0.0,5.170539967020967e-06,-3.904151392730704e-05,0.049703359603881836
1782933887.8049524,-0.012242719531059265,-0.12710130214691162,-1.4108283079090773,0.0,1.3265381615433736e-07,1.2871686092541525e-06,0.047075510025024414
1782933887.8549309,-0.012237056158483028,-0.12709453701972961,-1.4108947134452332,0.0,8.82273963834352e-06,-6.640553615588907e-05,0.04997849464416504
1782933887.8970907,-0.01223644521087408,-0.12709380686283112,-1.410901952872522,0.0,9.520431068517737e-07,-7.239427288752155e-06,0.0421597957611084
1782933887.9468937,-0.012239928357303143,-0.1270979642868042,-1.4108613715611866,0.0,5.4236964459910505e-06,4.058131133533039e-05,0.04980301856994629
1782933887.9974513,-0.012237157672643661,-0.12709465622901917,-1.4108937424031167,0.0,4.315082825556059e-06,-3.2370841930084986e-05,0.050557613372802734
1782933888.0570776,-0.01223899144679308,-0.12709684669971466,-1.410871922720542,0.0,2.856727060623444e-06,2.1819682574752974e-05,0.05962634086608887
1782933888.107105,-0.01224200613796711,-0.12710045278072357,-1.410836766811516,0.0,4.700232240815952e-06,3.515590902591903e-05,0.05002737045288086
1782933888.1579618,-0.012239133939146996,-0.127097025513649,-1.4108704257662081,0.0,4.4716535714206655e-06,-3.365895469209512e-05,0.050856828689575195
